id,name,proper,bf,ra,dec,mag,ci,dist,x,y,z,spect,con
88,Tau Phe,,Tau Phe,0.01794100,-48.80987600,5.710,0.911,181.818200,119.736878,0.562356,-136.823418,G8III,Phe
107,,,,0.02225500,-50.33737300,5.530,1.615,166.389400,106.198875,0.618768,-128.089244,M2III,Phe
122,The Oct,,The Oct,0.02661600,-77.06572400,4.780,1.254,66.577900,14.902031,0.103716,-64.888859,K2III,Oct
124,,,,0.02694900,61.22280100,5.580,0.407,943.396200,454.144163,3.204116,826.885007,F0III,Cas
145,29    Psc,,29    Psc,0.03040200,-3.02750400,5.130,-0.128,139.275800,139.077212,1.106982,-7.355907,B7III-IV,Psc
154,30    Psc,,30    Psc,0.03267200,-6.01407200,4.370,1.631,132.450300,131.716394,1.126662,-13.877167,M3III,Psc
171,85    Peg,,85    Peg,0.03613900,27.08225600,5.800,0.690,12.169900,10.834733,0.102555,5.540428,G3V,Peg
183,Zet Scl,,Zet Scl,0.03886700,-29.72041400,5.040,-0.150,154.083200,133.807455,1.361580,-76.389577,B4V,Scl
194,32    Psc,,32    Psc,0.04158400,8.48546300,5.700,0.315,36.900400,36.494389,0.397318,5.444980,F0V,Psc
208,,,,0.04335700,66.09896600,5.870,1.073,100000.000000,40513.198308,459.883590,91424.664275,G8III,Cas
300,2    Cet,,2    Cet,0.06233000,-17.33598800,4.550,-0.047,83.472500,79.670013,1.300177,-24.872663,B9IVn,Cet
330,9    Cas,,9    Cas,0.07046200,62.28766400,5.900,0.274,100000.000000,46495.354900,857.790357,88529.351835,A1III,Cas
343,,,,0.07216500,-16.52903600,5.780,1.084,90.661800,86.899520,1.641967,-25.793323,K0III,Cet
355,3    Cet,,3    Cet,0.07503300,-10.50952300,4.990,1.619,641.025600,630.150175,12.379991,-116.922329,K3Ibvar,Cet
377,,,,0.07813100,-71.43689100,5.590,-0.100,175.438600,55.839008,1.142475,-166.311133,B8III,Tuc
379,,,,0.07830400,67.16644500,5.680,1.051,92.678400,35.956698,0.737440,85.415532,K1III,Cep
418,,,,0.08503900,61.31397000,5.800,-0.067,221.729500,106.405975,2.369398,194.515247,B8MNp...,Cas
441,33    Psc,,33    Psc,0.08892800,-5.70761800,4.610,1.029,39.494500,39.287997,0.914841,-3.927804,K1III,Psc
475,86    Peg,,86    Peg,0.09498900,13.39626600,5.550,0.901,114.285700,111.141705,2.764456,26.478222,G5III,Peg
517,,,,0.10435600,58.43673300,5.980,0.687,21.477700,11.238030,0.307211,18.300258,G5V,Cas
521,,,,0.10527700,-49.07519100,5.700,0.519,25.713600,16.837769,0.464410,-19.428440,G1IV...,Phe
530,10    Cas,,10    Cas,0.10737000,64.19616800,5.570,-0.023,265.957400,115.723206,3.253833,239.438695,B9III,Cas
635,,,,0.12969300,-22.50856000,5.930,0.141,78.369900,72.358029,2.457783,-30.001634,A1V,Cet
654,,,,0.13430300,-33.52932600,5.670,1.119,94.966800,79.115753,2.782872,-52.456250,K1III,Scl
